"customer_id","gender","seniorcitizen","partner","dependents","tenure_months","phoneservice","multiplelines","internetservice","onlinesecurity","onlinebackup","deviceprotection","techsupport","streamingtv","streamingmovies","contract","paperlessbilling","paymentmethod","monthly_charge","total_charge","churn_flag","txn_count","avg_txn_amount","total_revenue","first_txn_month","last_txn_month","months_recorded","avg_active_days","avg_sessions_per_day","avg_session_duration_min","avg_feature_usage_score","last_active_month","ticket_count","unresolved_ticket_count","unresolved_ticket_rate","avg_time_to_resolve_hours","last_ticket_month"
"7590-VHVEG","Female","0","Yes","No","1","No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check","29.85","29.85","0","4","31.105","124.42","1","1","1","14.0","2.32","16.9","0.41","1","1","0","0.0","20.3","1"
"5575-GNVDE","Male","0","No","No","34","Yes","No","DSL","Yes","No","Yes","No","No","No","One year","No","Mailed check","56.95","1889.5","0","7","61.69714285714286","431.88","5","33","11","20.90909090909091","2.815454545454546","13.509090909090911","0.6","34","2","0","0.0","33.75","2"
"3668-QPYBK","Male","0","No","No","2","Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Mailed check","53.85","108.15","1","4","58.9725","235.89","1","2","1","5.0","1.89","10.9","0.61","1","6","1","0.16666666666666666","45.06666666666667","2"
"7795-CFOCW","Male","0","No","No","45","No","No phone service","DSL","Yes","No","Yes","Yes","No","No","One year","No","Bank transfer (automatic)","42.3","1840.75","0","7","46.75571428571429","327.29","1","35","3","24.333333333333332","2.546666666666667","16.366666666666664","0.6633333333333333","32","3","1","0.3333333333333333","26.566666666666666","40"
"9237-HQITU","Female","0","No","No","2","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check","70.7","151.65","1","1","74.26","74.26","2","2","1","6.0","1.45","20.5","0.35","1","4","0","0.0","43.0","2"
"9305-CDSKC","Female","0","No","No","8","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check","99.65","820.5","1","3","115.00333333333333","345.01","2","8","5","8.4","1.4","15.720000000000002","0.752","8","4","1","0.25","28.75","4"
"1452-KIOVK","Male","0","No","Yes","22","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)","89.1","1949.4","0","7","95.70714285714287","669.95","2","21","12","17.75","2.935","15.458333333333336","0.47833333333333333","22","1","0","0.0","54.7","5"
"6713-OKOMC","Female","0","No","No","10","No","No phone service","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check","29.75","301.9","0","5","33.336","166.68","1","10","10","18.7","2.753","13.330000000000002","0.5940000000000001","10","3","1","0.3333333333333333","16.166666666666668","10"
"7892-POOKP","Female","0","Yes","No","28","Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","104.8","3046.05","1","1","118.79","118.79","19","19","10","8.3","1.2100000000000002","11.319999999999999","0.544","27","3","0","0.0","32.53333333333333","25"
"6388-TABGU","Male","0","No","Yes","62","Yes","No","DSL","Yes","Yes","No","No","No","No","One year","No","Bank transfer (automatic)","56.15","3487.95","0","4","57.045","228.18","4","47","10","17.2","2.65","16.69","0.679","48","1","0","0.0","30.1","31"
"9763-GRSKD","Male","0","Yes","Yes","13","Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check","49.95","587.45","0","2","48.0","96.0","8","13","5","15.2","3.2260000000000004","9.84","0.54","10","1","0","0.0","68.9","2"
"7469-LKBCI","Male","0","No","No","16","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)","18.95","326.8","0","6","22.255","133.53","5","13","8","18.125","2.4975","14.387500000000001","0.6137500000000001","12","3","1","0.3333333333333333","56.699999999999996","11"
"8091-TTVAX","Male","0","Yes","No","58","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","No","Credit card (automatic)","100.35","5681.1","0","13","108.53076923076922","1410.8999999999999","8","58","3","18.0","2.34","15.466666666666667","0.6433333333333334","19","4","0","0.0","35.900000000000006","48"
"0280-XJGEX","Male","0","No","No","49","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)","103.7","5036.3","1","1","118.68","118.68","44","44","4","9.75","1.425","14.0","0.6","33","7","0","0.0","28.78571428571429","42"
"5129-JLPIS","Male","0","No","No","25","Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","105.5","2686.05","0","3","120.52","361.56","4","20","12","17.5","2.565","16.349999999999998","0.52","25","2","0","0.0","11.95","24"
"3655-SNQYZ","Female","0","Yes","Yes","69","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)","113.25","7895.15","0","4","118.885","475.54","39","67","8","22.125","2.7675","12.6125","0.62125","63","1","0","0.0","2.0","62"
"8191-XWSZG","Female","0","No","No","52","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check","20.65","1022.95","0","3","21.0","63.0","1","41","8","20.875","3.045","15.55","0.5137499999999999","33","2","1","0.5","36.15","37"
"9959-WOFKT","Male","0","No","Yes","71","Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Two year","No","Bank transfer (automatic)","106.7","7382.25","0","4","111.5975","446.39","5","60","8","18.5","2.2","14.612499999999999","0.5075000000000001","64","2","0","0.0","55.5","64"
"4190-MFLUW","Female","0","Yes","Yes","10","Yes","No","DSL","No","No","Yes","Yes","No","No","Month-to-month","No","Credit card (automatic)","55.2","528.35","1","1","46.81","46.81","4","4","5","9.2","1.092","19.419999999999998","0.54","10","5","2","0.4","41.16","9"
"4183-MYFRB","Female","0","No","No","21","Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check","90.05","1862.9","0","9","94.52444444444444","850.7199999999999","1","20","6","16.166666666666668","3.033333333333333","13.383333333333333","0.62","21","5","1","0.2","26.4","21"
"8779-QRDMV","Male","1","No","No","1","No","No phone service","DSL","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check","39.65","39.65","1","0","0.0","0.0",,,"1","5.0","0.53","9.5","0.93","1","2","0","0.0","28.4","1"
"1680-VDCWW","Male","0","Yes","No","12","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)","19.8","202.25","0","5","20.686","103.43","1","8","11","19.90909090909091","2.9618181818181815","13.899999999999999","0.6472727272727272","12","2","1","0.5","27.200000000000003","6"
"1066-JKSGK","Male","0","No","No","1","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check","20.15","20.15","1","3","20.319999999999997","60.959999999999994","1","1","1","4.0","1.53","7.8","0.89","1","7","4","0.5714285714285714","24.900000000000002","1"
"3638-WEABW","Female","0","Yes","No","58","Yes","Yes","DSL","No","Yes","No","Yes","No","No","Two year","Yes","Credit card (automatic)","59.9","3505.1","0","2","69.35","138.7","39","43","5","13.2","2.154","13.460000000000003","0.5780000000000001","52","3","2","0.6666666666666666","44.86666666666667","26"
"6322-HRPFA","Male","0","Yes","Yes","49","Yes","No","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","No","Credit card (automatic)","59.6","2970.3","0","6","67.55166666666666","405.31","4","33","10","20.3","2.461","15.539999999999997","0.507","37","2","0","0.0","27.6","43"
"6865-JZNKO","Female","0","No","No","30","Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","55.3","1530.6","0","4","58.74","234.96","6","29","4","17.25","2.885","18.25","0.6025","28","2","0","0.0","32.15","12"
"6467-CHFZW","Male","0","Yes","Yes","47","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check","99.35","4749.15","1","2","118.705","237.41","20","46","5","10.6","1.012","10.58","0.734","37","4","1","0.25","41.0","34"
