customer_id,churn_flag,predicted_churn_proba,predicted_ltv,segment_id,tenure_months,monthly_charge,ticket_count,unresolved_ticket_count,avg_feature_usage_score,contract,paymentmethod
7590-VHVEG,0,0.0015623370069956417,19104.0,0,1,29.85,1,0,0.41,Month-to-month,Electronic check
5575-GNVDE,0,0.00014379018673786067,396087.25,3,34,56.95,2,0,0.6,One year,Mailed check
3668-QPYBK,1,0.997149314513811,53.85,2,2,53.85,6,1,0.61,Month-to-month,Mailed check
7795-CFOCW,0,0.00018170670502769455,232776.9,2,45,42.3,3,1,0.6633333333333333,One year,Bank transfer (automatic)
9237-HQITU,1,0.9997706510332609,70.7,0,2,70.7,4,0,0.35,Month-to-month,Electronic check
9305-CDSKC,1,0.9996846905260334,99.65,2,8,99.65,4,1,0.752,Month-to-month,Electronic check
1452-KIOVK,0,0.00014379018673786067,619690.5,3,22,89.1,1,0,0.4783333333333333,Month-to-month,Credit card (automatic)
6713-OKOMC,0,0.00018170670502769455,163714.25,0,10,29.75,3,1,0.5940000000000001,Month-to-month,Mailed check
7892-POOKP,1,0.9997842903719671,104.8,0,28,104.8,3,0,0.544,Month-to-month,Electronic check
6388-TABGU,0,0.00014379018673786067,390523.25,2,62,56.15,1,0,0.679,One year,Bank transfer (automatic)
9763-GRSKD,0,0.000195159391055805,255943.80000000002,0,13,49.95,1,0,0.54,Month-to-month,Mailed check
7469-LKBCI,0,0.00018170670502769455,104281.84999999999,0,16,18.95,3,1,0.6137500000000001,Two year,Credit card (automatic)
8091-TTVAX,0,0.00018170670502769455,552226.0499999999,1,58,100.35,4,0,0.6433333333333334,One year,Credit card (automatic)
0280-XJGEX,1,0.9997842903719671,103.7,0,49,103.7,7,0,0.6,Month-to-month,Bank transfer (automatic)
5129-JLPIS,0,0.00014379018673786067,733752.5,2,25,105.5,2,0,0.52,Month-to-month,Electronic check
3655-SNQYZ,0,0.00014379018673786067,787653.75,3,69,113.25,1,0,0.62125,Two year,Credit card (automatic)
8191-XWSZG,0,0.00014379018673786067,143620.75,0,52,20.65,2,1,0.5137499999999999,One year,Mailed check
9959-WOFKT,0,0.00014379018673786067,742098.5,3,71,106.7,2,0,0.5075000000000001,Two year,Bank transfer (automatic)
4190-MFLUW,1,0.9997842903719671,55.2,0,10,55.2,5,2,0.54,Month-to-month,Credit card (automatic)
4183-MYFRB,0,0.00018170670502769455,495545.14999999997,1,21,90.05,5,1,0.62,Month-to-month,Electronic check
8779-QRDMV,1,0.9996177822686002,39.65,0,1,39.65,2,0,0.93,Month-to-month,Electronic check
1680-VDCWW,0,0.00014379018673786067,137709.0,0,12,19.8,2,1,0.6472727272727272,One year,Bank transfer (automatic)
1066-JKSGK,1,0.9997832323521484,20.15,0,1,20.15,7,4,0.89,Month-to-month,Mailed check
3638-WEABW,0,0.0023245764598878995,25757.0,0,58,59.9,3,2,0.5780000000000001,Two year,Credit card (automatic)
6322-HRPFA,0,0.00014379018673786067,414518.0,3,49,59.6,2,0,0.507,Month-to-month,Credit card (automatic)
6865-JZNKO,0,0.00014379018673786067,384611.5,2,30,55.3,2,0,0.6025,Month-to-month,Bank transfer (automatic)
6467-CHFZW,1,0.9993808070090912,99.35,2,47,99.35,4,1,0.734,Month-to-month,Electronic check
8665-UTDHZ,1,0.9996471216984442,30.2,0,1,30.2,3,0,0.69,Month-to-month,Electronic check
